GLOSS ID	LIST ID	ENGLISH	RON_B	SHG	SKB	KHP	KMG	CHO	PSK
Backstrom-1992-210b-189	Balti-184	(he) sat down	duks	duks	duks	duks	duks	duks	duks
Backstrom-1992-210b-190	Balti-185	(he) gave	mins	mɪns	mɪns	mins	mɪns	mins	minɑtɑ̃s
Backstrom-1992-210b-191	Balti-186	(he) burned (trans.)	strʌks	tʊks	strʌks	strʌks	tʊks	potʊks	tɑ̃semepus
Backstrom-1992-210b-192	Balti-187	(he) died	šis	šɪs	šis	šis	šis	šɪs	šis
Backstrom-1992-210b-193	Balti-188	(he) killed		rdʌps	rdʌps	rdʌps	rdʌps	rdʌps	rdʌps
Backstrom-1992-210b-194	Balti-189	(the bird) flew	pʰurs	pʰurs	pʰurs	pʰurs	pʰurs	pʰurs	pʰurs
Backstrom-1992-210b-195	Balti-190	(he) walked	druls	druls	druls	druls	druls	druls	druls
Backstrom-1992-210b-196	Balti-191	(he) ran	bgʸuks	βgʸuks	bgʸuks	bgʸuks	βgʸʊks	rgʸuks	bɑŋtɑ̃s
Backstrom-1992-210b-197	Balti-192	(he) went	soŋ	sõs	soŋs	sõs	soŋ	soŋs	soŋ
Backstrom-1992-210b-198	Balti-193	(he) came	õs	õs	oŋs	õs	õs	õs	õs
Backstrom-1992-210b-199	Balti-194	(he) spoke	zɛrs	zɛrs	zɛrs	zɛrs	zɛrs	zɛrs	zɛrs
Backstrom-1992-210b-200	Balti-195	(he) heard	kos	kos	kos	kos	kos	kos	kos
Backstrom-1992-210b-201	Balti-196	(he) saw	tʰoŋ	tʰoŋ	tʰoŋs	tʰõs	tʰoŋs	tʰoŋs	
Backstrom-1992-210b-202	Balti-197	I	ŋɑ	ŋɑ	ŋʌ	ŋɑ	ŋɑ	ŋɑ	ŋɑ
Backstrom-1992-210b-203	Balti-198	you (informal)	kʰʸɑŋ	kʰʸɑŋ	kʰʸɑŋ	kʰʸɑŋ	kʰʸʌŋ	kʰʸɑŋ	kʰerʌŋ
Backstrom-1992-210b-204	Balti-199	you (formal)	yɑŋ	yɑŋ	yɑŋ	yɑŋ	yɑŋ	yɑŋ	yɑŋ
Backstrom-1992-210b-205	Balti-200	he	kʰo	kʰo	kʰo	kʰo	kʰo	kʰo	kʰo
Backstrom-1992-210b-206	Balti-201	she	mo	mo	mo	mo	mo	mo	boŋo
Backstrom-1992-210b-207	Balti-202	we (inclusive)	ŋɑdɑŋ	ŋʌtʌŋ	ŋʌtʌŋ	ŋʌtʌŋ	ŋʌtʌŋ	ŋʌtʌŋ	ŋʌtʌŋ
Backstrom-1992-210b-208	Balti-203	we (exclusive)	ŋɑyɑ	ŋɑyɑ	ŋɑyɑ	ŋɑyɑ	ŋɑyɑ	ŋɑyɑ	ŋɑčɑ
Backstrom-1992-210b-209	Balti-204	you (plural)	kʰidʌŋ	kʰitʌŋ	kʰitʌŋ	kʰidʌŋ	kʰɪtʌŋ	kʰitʌŋ	kʰečɑ
Backstrom-1992-210b-210	Balti-205	they	kʰoŋ	kʰoŋ	kʰoŋ	kʰoŋ	kʰoŋ	kʰoŋ	kʰoŋ
